,astro.pfc|v1|v2|temp|par|a1|s1|m1.1,astro.caud|put|nacc.1,astro.hipp.1,astro.thal.1,astro.amyg.1,astro.hyp.1,astro.bf.1,astro.brainstem.1,astro.pfc|v1|v2|temp|par|a1|s1|m1.2,astro.hipp.2,astro.amyg.2,astro.pfc|v1|v2|temp|par|a1|s1|m1.3,astro.caud|put|nacc.3,astro.hipp.3,astro.thal.3,astro.amyg.3,astro.hyp.3,astro.bf.3,astro.brainstem.3,astro.cbm.11,astro.cbm.12,oligo.pfc|v1|v2|temp|par|a1|s1|m1.1,oligo.cbm.1,oligo.caud|put|nacc.1,oligo.hipp.1,oligo.thal.1,oligo.amyg.1,oligo.hyp.1,oligo.bf.1,oligo.brainstem.1,oligo.pfc|v1|v2|temp|par|a1|s1|m1.2,oligo.cbm.2,oligo.caud|put|nacc.2,oligo.hipp.2,oligo.thal.2,oligo.amyg.2,oligo.hyp.2,oligo.bf.2,oligo.brainstem.2,oligo.pfc|v1|v2|temp|par|a1|s1|m1.3,oligo.cbm.3,oligo.caud|put|nacc.3,oligo.hipp.3,oligo.thal.3,oligo.amyg.3,oligo.hyp.3,oligo.bf.3,oligo.brainstem.3,oligo.pfc|v1|v2|temp|par|a1|s1|m1.4,oligo.cbm.4,oligo.caud|put|nacc.4,oligo.hipp.4,oligo.thal.4,oligo.amyg.4,oligo.hyp.4,oligo.bf.4,oligo.brainstem.4,micro.pfc|v1|v2|temp|par|a1|s1|m1.1,micro.caud|put|nacc.1,micro.amyg.1,micro.hyp.1,micro.bf.1,micro.thal.2,micro.pfc|v1|v2|temp|par|a1|s1|m1.3,micro.cbm.3,micro.caud|put|nacc.3,micro.hipp.3,micro.thal.3,micro.amyg.3,micro.hyp.3,micro.bf.3,micro.brainstem.3,micro.pfc|v1|v2|temp|par|a1|s1|m1.4,micro.caud|put|nacc.4,micro.hipp.4,micro.thal.4,micro.amyg.4,micro.hyp.4,micro.bf.4,micro.brainstem.4,endo.pfc|v1|v2|temp|par|a1|s1|m1.1,endo.pfc|v1|v2|temp|par|a1|s1|m1.2,endo.thal.2,endo.pfc|v1|v2|temp|par|a1|s1|m1.3,endo.caud|put|nacc.3,endo.hipp.3,endo.thal.3,endo.amyg.3,endo.hyp.3,endo.bf.3,endo.brainstem.3,endo.pfc|v1|v2|temp|par|a1|s1|m1.4,endo.thal.4,endo.pfc|v1|v2|temp|par|a1|s1|m1.5,endo.caud|put|nacc.5,endo.hipp.5,endo.thal.5,endo.hyp.5,endo.bf.5,endo.pfc|v1|v2|temp|par|a1|s1|m1.6,endo.caud|put|nacc.6,endo.hipp.6,endo.thal.6,endo.amyg.6,endo.brainstem.6,endo.pfc|v1|v2|temp|par|a1|s1|m1.7,epen.caud|put|nacc.1,epen.hipp.1,epen.thal.1,epen.hyp.1,epen.thal.2
ALDOA:LOC100895436,0.548563743647992,0.351212261326615,0.706076267048905,0.450179171555034,0.680815509831596,0.382648143576343,0.513386228591829,0.322377698042372,0.643235836282936,0.562530075728821,0.779101532938758,0.740554519552433,0.342697219419554,0.897150075783978,0.493062978942855,0.64885356595922,0.409234273788865,0.372972287228019,0.631877052678905,0.707553914824458,0.421356021757219,0.466120531414786,0.106484545185039,0.232227207526243,0.841541660281527,0.263230361660609,0.677405179923774,0.183173365828955,0.346312403652784,0.222555555649916,0.48230324568846,0,0.395750540298104,0.323397830417982,0.612447470847003,0.51593160871923,0.015157768594724,0.0257324650392167,0,0.643686086932538,0.0471525224677233,0.399660846290763,0.826352236082472,0.348618431734731,0.717131998411579,0.374722150979839,0.550904715140597,0.202729069003347,0.710638911739533,0.13412216647734,0.300480285559187,0.988270886725197,0.352737035776633,0.853717129579889,0.324463830056993,0.594382807169541,0.229387501924222,1.05976636769598,0.294724436688819,0.886184245371949,0.285455423443309,0.222643269743902,0.622948862552474,0.652151571349065,0.399221090940178,0.393527570315818,0.811143149763337,0.394282719880004,0.682954458453954,0.269700161099995,0.446423303218391,0.358068955425212,0.853244420534584,0.552723070969415,1.15179695581097,0.345684118919557,0.86941355182972,0.31202614554934,0.484801956774869,0.373697585548775,0.767115168391967,0.77486158559109,0.566955395211116,0.845236377205522,0.506482765978385,0.771734494036698,0.701277744638307,0.653842697767992,0.505727283097715,0.718724768527707,0.774808678850532,0.670132747308912,0.62268291730717,0.887050434915679,0.738655135917751,0.874541100227845,0.695867462683454,0.548537999764659,0.648600795304114,0.677141383134373,0.574808263761396,0.81901441921327,0.620216763241896,0.834717508865441,0.466672882945576,0.677065347373932,0.162546277247689,0.610741792387484,0.239189230571752,0.22064425840305,0.184269034358249
ARHGEF10:LOC118151300,0,0.163665942811515,0,0.112311308730018,0.044927580128596,0.0601847946174547,0.164531653829394,0.194591118561246,0.17662221867978,0.375443432371677,0.411124747644163,0.357765854953017,0.383076381406227,0.243937562008634,0.323826566532923,0.260673394576339,0.271850717726307,0.5112749853943,0.126727074358999,0,0.142927917901811,0.875063556913166,0.913199914118882,0.914074318076742,0.872086463232863,0.897523024170311,0.957372106567217,0.91065139464369,1.10818168946123,0.854478227587908,1.37558932918636,1.32089526923436,1.3251694660124,1.27764033985731,1.35841403785925,1.45793966174154,1.43013111656554,1.48057732504773,0.8460023133072,1.24075304690029,1.24362131497027,1.29707950242917,1.27947321439837,1.31414259567812,1.3800237269593,1.35374309097368,1.46063898960566,1.18331478088066,1.23545599415128,1.24732796783096,1.24065738122124,1.17506199112442,1.27414883051397,1.32283272937504,1.29283786624038,1.43990413618602,1.18454167684008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143865877994066,0.81002600265434,0.627653235564728,0.423715693695733,0.548629216697946,0.284020165819611,0.503715085507703,0.704995220215373,0.57742050775279,0.718724768527707,0.716816731872845,0.278441687913876,0.452421201912213,0.295885517348972,0.267363424858812,0,0.285692997594405,0.413839425867203,0.209268101473851,0.147338398465164,0.51681631678371,0.393045686940988,0.339773298359692,0.387559477523222,0,0.416979881543772,0,0,0,0,0
ARPC3:LOC100398433,0,0,0.602834479459524,0,0.118410410077454,0,0,0,0.161660240137024,0.437591339120521,0.110094751980182,0.245061574761728,0,0.702575411034284,0.00797279455191744,0.295435500835551,0,0.0719422915640379,0,0,0,0,0,0,0.774412967200337,0,0.0796522766107221,0,0,0,0,0,0,0.800519085137644,0.0683794264967277,0,0,0,0,0.143191062320133,0,0,0.705217563053205,0,0.224968738613303,0,0,0,0.218585941226236,0,0,0.976289589442083,0,0.209754218672095,0,0.00832877909622301,0,0.346555924245348,0,0.18032053308803,0.358231756734646,0,0.183616168722211,0.0964476847108772,0,0,0.663080614307899,0,0.244585792726308,0,0,0,0.397746976658877,0,1.10393634016253,0,0.296908804063474,0.102443267191914,0,0,0.842835882330085,0.479032783612916,0,0.629587019670712,0.155681153583408,0.989376968817031,0.525387874170469,0,0.200969414914491,0.451118528350675,0.0478099509142695,0.293681654470612,0,0.435253969379913,0.0155514518650128,0.711813802730145,0.160754260986105,0.071416745044997,0,0.0863819725237387,0.148839531489115,0.915924432221326,0,0.466740723570847,0,0.242806040533813,0,0.571488493239811,0,0,0
ASRGL1:LOC100390661,0.709708170855171,0.594615826501229,0.767369983757469,0.809524557493304,0.978465764844196,0.855097008076346,1.01760723440372,0.37220355073746,0.787884161903127,0.723898077963796,0.919280236103795,0.782180759156676,0.582862306260118,0.942907566344653,0.721183238002546,0.859706931274114,0.728287373586118,0.770912295900057,0.126727074358999,0.45506846534748,0.451617626789755,0.0534309458419206,0,0,0.384673388461935,0.110931267281094,0.460101553122424,0.109784831252803,0.439825050064048,0,0.0351452143462406,0,0,0,0,0,0.617217759922686,0,0,0.00280194123678444,0,0,0.238080529240143,0.0460030046498806,0.500386650433352,0.23078292034747,0.392889519730711,0,0.0595795728352816,0,0,0.373216074942568,0.0361458260511402,0.521873186501688,0.126378277295144,0.399356793351931,0,0.38131803050456,0,0.435593038191336,0.125917573440125,0.268400760304577,0.0586774321139108,0.0497586597427037,0,0,0.212288298310586,0.0627764535468964,0.454623581309678,0.12532331522152,0.325721619553345,0,0.177961387606295,0,0.670882712074172,0.0771833480824959,0.490423955035895,0.0560745246205474,0.380066606254857,0,0.289993913672304,0.325605509193179,0.22016790898646,0.221362252499995,0,0.19507908248283,0.357967842911207,0.528903961159692,0.26361622405238,0.524904742511594,0.223901209969951,0.322645350405929,0.230572452295856,0.333347908878764,0.0998723375650487,0.369391121907939,0.472003421831772,0.576566723364903,0.721151462452725,0.0650439169933967,0.273778268097415,0.614894436557345,0.0987412323709964,0.165710727906865,0,0.04514267543594,0,0.240075868582108,0.222414392906693,0.196677102646155,0.171557068842111
ATP5MD:LOC103796754,0.229989735784117,0,0.656236072090764,0.168829315552306,0.307948392860382,0.00728940465914893,0.0340320924398744,0,0.300044335451309,0.583719374798759,0.301980278219095,0.413944461167235,0,0.755820922987509,0.150640298120649,0.306430885137014,0,0,0.381999579462305,0.092851160824362,0,0.181712694742503,0,0,0.730209304708284,0.0792746729212088,0.240231369488156,0,0,0,0.114326460393865,0,0,0.323397830417982,0.0683794264967277,0,0,0,0,0.312892166419586,0,0.00152481212142199,0.696718378265792,0.0821244061718174,0.34461406974461,0.10286225797491,0.186053228838205,0,0.414758713356383,0,0,0.95978234891376,0.187084448847874,0.437552300801653,0.105188978225206,0.270529987069527,0,0.72977267609668,0,0.445138356097566,0.288379976460626,0,0.359707427777892,0.274528386008196,0,0.0356572976195357,0.667581115534575,0.14144404550519,0.321998016035087,0,0.105276084346427,0.0179749369215883,0.599534127482331,0.376631811913734,1.13642209424402,0.147316465152724,0.336913965735058,0.134235101615765,0.16258266204095,0.130659536862481,0.700168378761354,0.489251948794602,0.412053435225373,0.582899742982041,0.179814833300127,0.771734494036698,0.511891761885596,0.22787396549571,0.136511425687572,0.399966005903294,0.348839946578251,0.49404148825323,0.309753698343481,0.594954812247425,0.0735433988426996,0.711813802730145,0.440594957580148,0.217544780723235,0.0843293648655509,0.350163910768091,0,0.930164871335936,0.169672402993198,0,0,0.322942830381446,0,0.454305221328273,0.0695147965129451,0,0
BLOC1S5,0.651504309734261,0.670721218751408,0.630899441074049,0.621139921409617,0.682681840516017,0.589677473740678,0.636092083767837,0.622555299945175,0.62297617256312,0.465620062720765,0.699920286891133,0.649388382095167,0.68511990024176,0.738787583688728,0.632082926622954,0.67749874740875,0.710264269452846,0.645973559291757,0.541700422329817,0.589815351894195,0.705580551703341,0.730788995423361,0.759697058960382,0.736817167094271,0.714415037525052,0.722801976863874,0.722585151141495,0.715013217429199,0.76409672895743,0.675916371562008,0.450118562317059,0.36665275979504,0.731542642221297,0.624427826081963,0.721591940272071,0.913871617391268,0.714127772930743,0.67894497881456,1.02209357236288,0.640886261582222,0.637069286132692,0.666451038202146,0.675614899664843,0.649082866071353,0.639794893062324,0.64300444976702,0.663174483557867,0.656692423781912,0.681784368679728,0.662395943644384,0.669567799034425,0.657699517626512,0.659572596828259,0.626738857947482,0.661217216601374,0.614653562292618,0.673085001156934,0.698738442356711,0.537762485375114,0.645703384536448,0.706814746261671,0.648612002016183,0.484646164386192,0.731887118023184,0.561948388437877,0.715054394296753,0.615307832511898,0.629142892784713,0.709169841290729,0.641420887528464,0.678372379739073,0.625114453778826,0.761627453920874,0.659178401883701,0.831461804951605,0.608925553694138,0.68248372179145,0.568428155793616,0.533650524312687,0.584550950863668,0.842835882330085,0.995662579616252,0.928683231228709,0.754668217976829,0.861422718634936,0.856977775443266,0.747840229835212,0.528903961159692,0.793567278544676,0.783182757754625,0.788172640408513,0.694606516692112,0.762051369338112,0.665535886533132,0.661815105685029,0.67042111757192,0.57889765574643,0.548537999764659,0.721151462452725,0.802270892634782,0.817846312447691,0.69407568260497,0.789223126481496,0.642831982626528,0.670792865601501,0.703021483332473,0.584675068660298,0.585918208662452,0.564503770196113,0.553421508008901,0.578855401022699
BRD9:LOC118151607,0.752363772593389,0.700350424491849,0.933286184114202,0.684569055671163,0.856157985112299,0.556643045471108,0.669474381139925,0.345589797610825,0.77954647791865,0.692863844223827,0.863422418638794,0.745663925330914,0.596730652407312,0.755820922987509,0.665188050780935,0.737794649296002,0.54686728102537,0.700331221614349,0.42775707002298,0.601222383470489,0.63548450731568,0.634252283649991,0.44838742405183,0.522491361432109,0.918352197832706,0.611814727608425,0.726468585201269,0.58447646015653,0.601271451880769,0.31461306586356,0.707243072281958,0.36665275979504,0.731542642221297,0.925457821745944,0.54550068121639,0.993052863438893,0.617217759922686,0.67894497881456,0.544972317643219,0.815317840445107,0.581999530787506,0.699709828477066,0.980234126352268,0.740686123259783,0.878393777218874,0.808281458708375,0.784323908354231,0.382153824513245,0.873779728884453,0.63907251506176,0.700085323038363,1.1146843088995,0.775094150711966,0.921997413433588,0.802180416579137,0.775875197796363,0.38873280283008,0.890623968595624,0.838792481039095,0.88959049406386,0.85909525853353,0.730798758203533,0.812005098772522,0.842966087225452,0.738039647493559,0.695364055500149,0.986160750714954,0.756166580502079,0.934997993427062,0.704355072557369,0.794327023350478,0.450283847224888,1.00718892160944,0.744608597208328,1.13249180061559,0.822805373639219,0.905584943744955,0.77535911578337,0.748043391549451,0.512000283715057,0.859869221628866,1.00653993307532,0.822227900314422,0.923337096172454,0.755408313078899,0.956460122616581,0.946268198091678,0.896880746454286,0.747171588777452,0.839298699733556,0.348839946578251,0.86871015451228,0.770484536874974,0.95813271466025,0.70827250692403,1.10178488173091,0.965639764616994,0.734174576726571,0.753336145824127,0.792433022018329,0.875838259425378,0.957317117379551,0.756598651192104,0.864680732242884,0.545854128993201,0.825799959789357,0.656661659087702,0.868834883428486,0.714347125338581,0.742939666480973,0.683109538771148
C1H9orf16:LOC103793855,0,0,0.586287926479486,0,0.139729756904586,0,0,0,0.0298015281786347,0.516772585168146,0.155852242540857,0,0,0.683270255838897,0,0.222884833686939,0,0,0,0,0,0,0,0,0.710005918619997,0,0.0709949570782236,0,0,0,0,0,0,0.624427826081963,0,0,0,0,0,0.120878895236991,0,0,0.724961621248962,0,0.182810101789333,0,0,0,0.204970579092839,0,0,0.940429392883819,0,0.238717914607412,0,0,0,0.471494660853648,0,0.144108360433585,0.0860053189208693,0,0.0586774321139108,0.162881427049807,0,0,0.752691388574456,0,0.239256959221242,0,0,0,0.452469439071717,0,1.06882272074621,0,0.159082045103075,0,0,0,0.143865877994066,0.532477102839882,0.265925399547135,0.328176897521278,0,0.616084395223561,0.333300959343712,0.0517827064400293,0,0.0197547641916879,0.114756740544883,0.322645350405929,0.2586011758961,0.34747255157037,0,0.99264041230584,0.218746207963792,0,0.0843293648655509,0.186846939748838,0,0.800531013519256,0,0,0.24482413332922,0.33548650324577,0,0.533166073055278,0,0,0
CALM3:LOC100394277,0.877313178123899,0.543082551033806,1.13963557477744,0.774120720291818,1.02726620311041,0.424167556042705,0.712841349191583,0.423693389304248,0.945593274086558,0.969070256162777,1.03091350593256,0.97105382604381,0.631301818025108,1.21590883840839,0.700868651175743,0.937367004201206,0.218165858763531,0.616010335914314,0.205908320406624,0.766039443029793,0.529277699716847,0.913714492010071,0.165190205522866,0.519613322523678,1.30122200610911,0.768951051320895,1.02231291350023,0.487261785977156,0.695350125387851,0.480833570892947,0.841325188330128,0,0.617599289914461,0.800519085137644,0.67043941782469,0.816961604383212,0.316187764258705,0.423672473711254,0,1.08112156930842,0.0628327267528856,0.689976775515644,1.26948899349177,0.814904652165975,1.09528496858381,0.678486433631072,0.822359077351926,0.448440090089684,1.12931572222997,0.188103978943586,0.617076100435261,1.43935033958051,0.853244727565605,1.13917314438639,0.621002632832512,0.820362106092662,0.462485670004236,1.30876736335595,0.391634449696876,1.14221600675588,0.826156827043627,0.699764524463565,1.07291787122852,1.19397938237773,0.503956441460191,0.818688312621266,1.25830118110556,0.907654430479727,1.14100445833768,0.642041751797039,0.775282392747129,0.733978280556387,1.38464661388052,0.910234422585844,1.62385349444986,0.94894881138589,1.21497594702507,0.750123292367296,0.857187860974519,0.801600817598256,1.05767973037778,1.25890401439083,1.02935339311007,1.11684790574125,0.788427589907909,1.19704867534573,1.09970092912347,1.07297200550997,0.616518368644723,0.949173689905981,0.977228876628562,1.15556611186935,0.998963865390344,1.33118902548412,0.918641438856956,1.40281487739489,1.16691456969092,0.770386749381016,1.00514811881793,1.09667030939975,0.817846312447691,1.27765226823892,0.990296673624255,1.19373945150711,0.24482413332922,1.01999964007318,0.565352381442952,1.16986487909247,0.743272733062522,0.522547793379782,0.571213658728823
CCDC173:LOC100410039,0.325348212472685,0.439853030013241,0.494765508872457,0.382195741639859,0.643128955867363,0.506190433702053,0.68475008768614,0.0364114488142666,0.515729055683111,0.437591339120521,0.570825590511675,0.428243513478763,0.627850452984697,0.420028821064316,0.683394677113147,0.874632609204009,0.642703635929363,0.725154805339381,0.272855110037237,0,0.241380719324148,0,0,0,0,0,0.153081193769256,0.0638253902202702,0.21187012629974,0,0,0,0.094720544634123,0,0.369409422160709,0,0.492279023314387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183616168722211,0,0,0,0,0,0,0,0.00308047487668693,0,0,0,0,0,0,0,0,0,0,0.145818104577534,0.265925399547135,0.0867520936032319,0.0265864572039499,0,0.154380410269167,0,0.26361622405238,0.133698116498525,0,0,0,0.164376390946031,0.346544670906437,0,0.236474974924223,0.150597991092622,0.452306150160145,0.447073923776147,0.671718276769453,0.480195862659889,0.529066014020326,0.290649464515165,0,0.254136104366709,1.35162650034918,1.21879214740463,1.33452140217353,1.31170897217775,1.30395626221588
